date,store_id,product_id,units,revenue
2026-01-01,S01,P01,34,108.80
2026-01-01,S01,P02,63,289.80
2026-01-01,S01,P03,52,228.80
2026-01-01,S01,P04,13,62.40
2026-01-01,S01,P05,20,102.00
2026-01-01,S01,P06,70,196.00
2026-01-01,S01,P07,27,94.50
2026-01-01,S01,P08,20,78.00
2026-01-01,S01,P09,23,82.80
2026-01-01,S01,P11,6,96.00
2026-01-01,S02,P01,31,99.20
2026-01-01,S02,P02,57,262.20
2026-01-01,S02,P03,32,140.80
2026-01-01,S02,P04,14,67.20
2026-01-01,S02,P05,24,122.40
2026-01-01,S02,P06,73,204.40
2026-01-01,S02,P07,28,98.00
2026-01-01,S02,P08,17,66.30
2026-01-01,S02,P09,20,72.00
2026-01-01,S02,P11,3,48.00
2026-01-01,S03,P01,25,80.00
2026-01-01,S03,P02,42,193.20
2026-01-01,S03,P03,29,127.60
2026-01-01,S03,P04,9,43.20
2026-01-01,S03,P05,20,102.00
2026-01-01,S03,P06,47,131.60
2026-01-01,S03,P07,23,80.50
2026-01-01,S03,P08,12,46.80
2026-01-01,S03,P10,5,62.50
2026-01-01,S04,P01,15,48.00
2026-01-01,S04,P02,27,124.20
2026-01-01,S04,P03,16,70.40
2026-01-01,S04,P04,7,33.60
2026-01-01,S04,P05,11,56.10
2026-01-01,S04,P06,34,95.20
2026-01-01,S04,P07,11,38.50
2026-01-01,S04,P08,8,31.20
2026-01-01,S04,P09,9,32.40
2026-01-01,S04,P11,2,32.00
2026-01-01,S05,P01,25,80.00
2026-01-01,S05,P02,42,193.20
2026-01-01,S05,P03,39,171.60
2026-01-01,S05,P04,9,43.20
2026-01-01,S05,P05,22,112.20
2026-01-01,S05,P06,61,170.80
2026-01-01,S05,P07,17,59.50
2026-01-01,S05,P08,15,58.50
2026-01-01,S05,P09,14,50.40
2026-01-01,S05,P10,5,62.50
2026-01-01,S05,P11,3,48.00
2026-01-01,S06,P01,20,64.00
2026-01-01,S06,P02,31,142.60
2026-01-01,S06,P03,28,123.20
2026-01-01,S06,P04,8,38.40
2026-01-01,S06,P05,10,51.00
2026-01-01,S06,P06,35,98.00
2026-01-01,S06,P07,16,56.00
2026-01-01,S06,P08,9,35.10
2026-01-01,S06,P09,13,46.80
2026-01-02,S01,P01,53,169.60
2026-01-02,S01,P02,58,266.80
2026-01-02,S01,P03,38,167.20
2026-01-02,S01,P04,18,86.40
2026-01-02,S01,P05,25,127.50
2026-01-02,S01,P06,62,173.60
2026-01-02,S01,P07,31,108.50
2026-01-02,S01,P08,20,78.00
2026-01-02,S01,P09,19,68.40
2026-01-02,S01,P10,10,125.00
2026-01-02,S02,P01,31,99.20
2026-01-02,S02,P02,57,262.20
2026-01-02,S02,P03,35,154.00
2026-01-02,S02,P04,10,48.00
2026-01-02,S02,P05,19,96.90
2026-01-02,S02,P06,70,196.00
2026-01-02,S02,P07,23,80.50
2026-01-02,S02,P08,14,54.60
2026-01-02,S02,P09,23,82.80
2026-01-02,S02,P10,7,87.50
2026-01-02,S03,P01,23,73.60
2026-01-02,S03,P02,45,207.00
2026-01-02,S03,P03,34,149.60
2026-01-02,S03,P04,13,62.40
2026-01-02,S03,P05,16,81.60
2026-01-02,S03,P06,53,148.40
2026-01-02,S03,P07,17,59.50
2026-01-02,S03,P08,12,46.80
2026-01-02,S03,P09,12,43.20
2026-01-02,S03,P11,4,64.00
2026-01-02,S04,P01,22,70.40
2026-01-02,S04,P02,36,165.60
2026-01-02,S04,P03,22,96.80
2026-01-02,S04,P04,6,28.80
2026-01-02,S04,P05,10,51.00
2026-01-02,S04,P06,26,72.80
2026-01-02,S04,P07,11,38.50
2026-01-02,S04,P08,7,27.30
2026-01-02,S04,P09,11,39.60
2026-01-02,S05,P01,28,89.60
2026-01-02,S05,P02,54,248.40
2026-01-02,S05,P03,38,167.20
2026-01-02,S05,P04,12,57.60
2026-01-02,S05,P05,21,107.10
2026-01-02,S05,P06,60,168.00
2026-01-02,S05,P07,19,66.50
2026-01-02,S05,P08,15,58.50
2026-01-02,S05,P09,13,46.80
2026-01-02,S05,P11,4,64.00
2026-01-02,S06,P01,23,73.60
2026-01-02,S06,P02,44,202.40
2026-01-02,S06,P03,26,114.40
2026-01-02,S06,P04,7,33.60
2026-01-02,S06,P05,11,56.10
2026-01-02,S06,P06,39,109.20
2026-01-02,S06,P07,16,56.00
2026-01-02,S06,P10,3,37.50
2026-01-02,S06,P11,3,48.00
2026-01-03,S01,P01,52,166.40
2026-01-03,S01,P02,107,492.20
2026-01-03,S01,P03,63,277.20
2026-01-03,S01,P04,21,100.80
2026-01-03,S01,P05,37,188.70
2026-01-03,S01,P06,95,266.00
2026-01-03,S01,P07,33,115.50
2026-01-03,S01,P08,19,74.10
2026-01-03,S01,P09,25,90.00
2026-01-03,S01,P10,9,112.50
2026-01-03,S01,P11,5,80.00
2026-01-03,S02,P01,57,182.40
2026-01-03,S02,P02,62,285.20
2026-01-03,S02,P03,45,198.00
2026-01-03,S02,P04,19,91.20
2026-01-03,S02,P05,24,122.40
2026-01-03,S02,P06,76,212.80
2026-01-03,S02,P07,25,87.50
2026-01-03,S02,P08,24,93.60
2026-01-03,S02,P10,8,100.00
2026-01-03,S02,P12,1,14.00
2026-01-03,S03,P01,43,137.60
2026-01-03,S03,P02,69,317.40
